"","ParkName","ReviewCount","Shape__Area","median_NDVI","Adult_Exercise_Equipment","Art_Monuments","Boat_Launches","Hydration_Stations","Picnic_Sites","Playground","Pools_Sprayground","Tennis_Court","Urban_Agriculture","totalPop","median_HH_income","vacantPct","seniorPct","kidPct","pctWhitePop","pctBlackPop","popDensity","WhiteHOrate","houseprice","NAME","DIST_NAME","railline_distance","school_distance","art_distance","demoHousing_distance","crime23_count","tree_count","Discovery_percentage_weighted","Engagement_percentage_weighted","Frustration...Annoyance_percentage_weighted","Inspiration_percentage_weighted","Relaxation_percentage_weighted","Sorrow_percentage_weighted"
"1","Delancey Park","7","4038.71875","0.250358238293236","0","0","0","0","1","1","0","0","0","765","120357","0.0254957507082153","0.061437908496732","0.934640522875817","0.979084967320261","0","0.0109183134888262","0.979651162790698","966900","SOCIETY HILL","Central","493.61438679418","157.067315222405","0","134.615215611782","1648","3972",0,16.53567,0,61.97435,21.48998,0
"2","Mifflin Square","13","28736.80078125","0.284347893376049","0","0","0","0","1","1","0","0","0","3070","31830","0.153381642512077","0.00162866449511401","0.887296416938111","0.410749185667752","0.131270358306189","0.0269253682792088","0.320970042796006","158200","WHITMAN","South","958.974050923336","298.902270908774","808.26631083823","156.94149935066","2020","1436",0,21.64425,0,25.40431,52.95144,0
"3","William Lanier Park","11","28390.578125","0.343332874638778","1","0","0","0","1","0","0","0","0","1063","35313","0.0993031358885017","0.00658513640639699","0.944496707431797","0.543744120413923","0.268109125117592","0.0122629838456203","0.55899419729207","83600","GRAYS FERRY","South","634.045399299996","366.746474052639","1744.92351858301","36.0262609904132","1270","1182",0,35.98793,0,55.36721,8.64486,0
"4","Marian Winfield Hissey Recreation Center","4","9949.08984375","0.155589160889825","1","0","0","0","0","1","0","0","0","1022","10386","0.0392670157068063","0","0.920743639921722","0.347358121330724","0.217221135029354","0.0084950049344544","0.294277929155313","44700","KENSINGTON","North","301.084095533147","361.166277730008","1709.6735385771","74.2652365345864","4217","872",0,29.11786,18.38961,27.71509,24.77745,0
"5","Palmer Park","15","5627.87109375","0.224942133688714","0","0","0","0","0","0","0","0","0","1214","44583","0","0","0.883855024711697","0.900329489291598","0.0115321252059308","0.00954784122147679","0.843177189409369","197200","FISHTOWN","River Wards","149.196583196281","278.570033661852","971.788756587575","54.5229490104043","1882","3050",0,26.58572,0,62.00461,11.40967,0
"6","Disston Park","3","162358.171875","0.330651244656776","0","0","0","0","0","0","0","1","0","1934","35927","0.0983379501385042","0.0046535677352637","0.917269906928645","0.74612202688728","0.174250258531541","0.00736809808968466","0.889400921658986","93800","TACONY","North Delaware","65.0849608767244","520.837833468659","5543.56007525929","201.145065340922","829","820",0,0,0,69.04002,30.95998,0
"7","Sedgley Woods Disc Golf Course","18","3107464.43359375","0.435170960593159","0","1","1","1","1","1","0","0","1","1248","70268","0","0","0.862179487179487","0.619391025641026","0.118589743589744","0.000119798103641123","0.602409638554217","270800","NA","Lower North","307.587019145147","513.070866724466","443.751217065107","260.906076184227","715","1548",0,31.83481,5.23188,47.07316,15.86014,0
"8","Schuylkill Banks","20","101477.171875","0.222291064298499","0","0","1","1","0","0","0","0","0","755","NA","0.11969696969697","0","0.788079470198676","0.528476821192053","0.172185430463576","0.0103170482214306","0.562822719449225","NA","RITTENHOUSE SQ.","Central","24.6953729304332","278.091809430224","649.324734829185","168.291390525014","1521","2973",0,28.31014,0,71.68986,0,0
"9","Pleasant Hill Park","135","259457.95703125","0.326310192416337","0","0","1","1","1","1","0","0","0","1812","67572","0.033434650455927","0.00662251655629139","0.92439293598234","0.908940397350993","0.0645695364238411","0.00384130776964978","0.888888888888889","165800","NA","North Delaware","582.196085941905","1689.15168337008","9054.60421657015","245.776235431001","73","369",0,21.22769,8.88459,46.52076,20.5946,2.77236
"10","Sherwood Park","2","11357.01953125","0.337373253781071","0","0","0","0","0","1","0","0","0","1085","24015","0.171003717472119","0","0.973271889400922","0.00645161290322581","0.941935483870968","0.0122570863990771","0.015695067264574","70000","COBBS CREEK","West","157.644524155","275.342550630389","1689.65807367796","86.7799436612395","1706","1027",0,49.71515,0,50.28485,0,0
"11","Hunting Park","48","491156.05078125","0.416380868090128","0","0","0","0","1","1","1","1","0","0","NA","NA","NA","NA","0","0","0","NA","NA","HUNTING PARK","North","484.348313310564","358.405444303705","937.117321294597","313.839617372992","1990","1503",0,28.09458,7.33255,33.32408,28.62527,2.62352
"12","Schuylkill River Park","67","27216.9296875","0.326216063348416","0","0","0","0","1","0","0","0","0","1046","160114","0.0218978102189781","0.00956022944550669","0.869024856596558","0.906309751434034","0","0.00667170726242241","0.91044776119403","506100","RITTENHOUSE SQ.","Central","83.8214947570137","214.511656994508","950.911868946219","101.874080355253","1243","3349",2.1558,14.19832,5.18907,68.54584,8.72345,1.18752
"13","Carroll Park","3","38881.91015625","0.436776943373249","1","0","0","1","1","1","0","0","0","947","25307","0.100250626566416","0","0.940865892291447","0","1","0.0106922076041606","0","98800","CARROLL PARK","West","1051.91208223143","305.498080499296","500.611036164042","120.225658158653","2825","1149",0,0,0,0,100,0
"14","Jose Manuel Collazo Park","2","10626.72265625","0.15342743110996","0","0","0","0","1","1","0","0","0","1114","9804","0.1280353200883","0.00538599640933573","0.938061041292639","0.504488330341113","0.155296229802513","0.0127776606460316","0.511392405063291","28400","ST. HUGH","North","404.046705974036","168.641090478432","1865.08655186817","95.4844333930443","2558","672",0,0,0,100,0,0
"15","Norman (Butch) Ellis Playground","2","10206.9765625","0.165325278953934","0","0","0","0","0","1","1","0","0","759","NA","0.456284153005464","0.0342555994729908","0.8866930171278","0","0.981554677206851","0.00731846629836751","0","53600","MANTUA","West","398.726346997165","351.687255602011","555.222875744861","44.5657690669951","1759","1280",63.51831,0,0,36.48169,0,0
"16","Hope Park","6","8508.55859375","0.197216541265917","0","0","0","0","0","0","0","0","0","1940","18994","0.0882352941176471","0","0.897422680412371","0.375773195876289","0.191752577319588","0.0167068899618637","0.333870967741935","61600","FAIRHILL","North","204.52116431458","397.269888026469","1569.06801488643","50.297355158116","3373","959",0,49.4096,17.45258,0,14.37925,18.75857
"17","Vernon Park","4","58573.0859375","0.41309615439848","1","0","0","1","1","1","0","0","0","659","NA","0.252307692307692","0.0136570561456753","0.92412746585736","0.479514415781487","0.342943854324734","0.00526772929395032","0.460905349794239","168500","GERMANTOWN","Upper Northwest","477.854052336876","216.262171932445","155.702361250392","196.649574175035","1686","1014",0,18.54651,30.79412,50.65937,0,0
"18","Tacony Creek Park","38","1385217.6328125","0.496628131021195","0","0","0","0","0","0","0","0","0","1123","34286","0","0.01246660730187","0.98753339269813","0.0240427426536064","0.308993766696349","0.00658359046137743","0.0821428571428571","114600","OLNEY","Upper North","539.747589140522","468.338769610418","1640.09893054145","282.643873966429","1170","936",0,25.15164,8.09848,47.29124,19.45864,0
"19","Belmont Plateau","330","7153469.15625","0.496190110970798","1","1","1","0","1","1","1","0","1","1248","70268","0","0","0.862179487179487","0.619391025641026","0.118589743589744","0.000119798103641123","0.602409638554217","270800","NA","West Park","594.565683959551","858.993685801065","789.884038731914","723.540204868362","152","1383",0.47944,21.86965,3.75679,59.13373,14.47975,0.28065
"20","Joseph C Fluehr Memorial Park","4","452133.09375","0.459985647873701","0","1","0","0","0","0","0","0","0","2330","66151","0.0789754535752401","0.00600858369098712","0.910300429184549","0.847210300429185","0.0175965665236051","0.00210355093628067","0.929316338354577","214100","EAST TORRESDALE","North Delaware","209.409961871776","264.852093841075","9563.04053285524","463.999969551142","104","839",60.82911,0,0,39.17089,0,0
"21","East Fairmount Park","67","3107464.43359375","0.435170960593159","0","1","1","1","1","1","0","0","1","1248","70268","0","0","0.862179487179487","0.619391025641026","0.118589743589744","0.000119798103641123","0.602409638554217","270800","NA","Lower North","368.630171794221","1057.59041284713","1024.65204686968","788.807833694389","179","1556",0,19.17046,4.1637,48.43656,26.6589,1.57037
"22","Manayunk Canal","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1333","46141","0.0975609756097561","0.0150037509377344","0.935483870967742","0.795948987246812","0.0765191297824456","0.000750951921930407","0.75516693163752","251700","SHAWMONT VALLEY","Lower Northwest","33.2459525497252","924.725251737746","4828.27716997142","219.947197930199","48","340",0,7.27007,9.90767,29.51738,53.30488,0
"23","Konrad Square","6","7011.2578125","0.155599049349923","0","0","0","0","1","0","0","0","0","985","27214","0.294827586206897","0","0.815228426395939","0.886294416243655","0","0.0113111739688376","0.836185819070905","175000","FISHTOWN","River Wards","450.517737762132","226.452551559448","946.281090648607","41.1856823573148","1976","3060",31.98701,36.03232,15.29235,16.68831,0,0
"24","Burholme Park","57","384589.265625","0.488525362659562","0","0","0","1","1","1","0","0","0","865","70000","0.0790378006872852","0.0104046242774566","0.897109826589595","0.947976878612717","0","0.00133851736988083","0.947761194029851","194400","FOX CHASE","Central Northeast","423.351195943469","918.325344058362","2361.30991143806","717.11687066719","346","882",0,22.47125,9.65666,50.26531,17.60678,0
"25","McMichael Park","21","40368.546875","0.485688545840435","0","1","0","1","0","0","0","0","0","1724","43750","0.220682302771855","0.00754060324825986","0.903132250580046","0.459976798143852","0.370069605568445","0.00127606601636379","0.437756497948016","420800","EAST FALLS","Lower Northwest","757.777742670899","434.596719104252","1260.74784661414","171.698050419424","313","1119",0,18.97514,0,52.28985,28.73501,0
"26","Pretzel Park","24","13934.55859375","0.358395256048904","0","0","0","0","0","1","0","0","0","810","49792","0.274509803921569","0.00987654320987654","0.971604938271605","0.934567901234568","0.0654320987654321","0.0126519112944515","0.945945945945946","282100","MANAYUNK","Lower Northwest","37.9483271996891","136.177180175946","2628.25480863777","91.3576738045018","633","1016",0,10.46459,11.50148,55.64553,22.3884,0
"27","Norris Square","15","44170.71484375","0.347260462555066","0","0","0","0","1","1","0","0","0","595","14219","0.067741935483871","0","0.946218487394958","0.470588235294118","0.14453781512605","0.00669246454068512","0.453287197231834","176000","NORRIS SQUARE","Lower North","172.774485529034","560.335901750487","301.993820453918","98.4353965598634","2038","2299",0,20.33049,0,49.57473,30.09477,0
"28","Logan Square","30","22964.55859375","0.152666938866412","0","1","0","0","0","0","0","0","0","802","91641","0.123076923076923","0","0.855361596009975","0.726932668329177","0.0473815461346633","0.00249171793363564","0.64327485380117","NA","LOGAN SQUARE","Central","373.032719330328","236.787497237502","133.18938117217","199.892611353019","2613","3452",0,21.88384,0,54.42797,23.68819,0
"29","Matthias Baldwin Park","16","14842.15234375","0.364590863713037","0","0","0","0","0","0","0","0","0","2838","66344","0.117751479289941","0","0.919309372797745","0.842142353770261","0.0369978858350951","0.0163263624572756","0.827632461435278","375600","LOGAN SQUARE","Central","618.155503667205","236.602715521208","0","107.863574667089","2112","3905",0,6.83584,0,50.20564,42.95852,0
"30","Clarence H Clark Park","127","82961.578125","0.426212580128883","0","0","0","1","1","1","0","0","0","1264","22414","0.180762852404643","0.000791139240506329","0.88370253164557","0.500791139240506","0.200158227848101","0.00756015480477489","0.431174089068826","412500","SPRUCE HILL","University Southwest","708.084573054627","90.2565262805131","796.431603829074","165.783664590259","1261","3107",0.59476,22.04621,2.49181,59.30423,15.56299,0
"31","Cliveden Park","1","41161.37109375","0.423803693084093","0","0","0","0","0","1","0","0","0","1821","31134","0.0490998363338789","0","0.936847885777046","0","0.988467874794069","0.0140120904955327","0","133600","EAST MT. AIRY","Upper Northwest","414.41155670386","325.241379787815","879.567546920065","99.0934804850197","1038","1054",0,100,0,0,0,0
"32","Juniata Park","13","72742.1796875","0.395180900449488","0","0","0","1","1","1","1","0","0","1700","25148","0.0513196480938416","0","0.954117647058824","0.571764705882353","0.0382352941176471","0.00404214823871439","0.630602782071097","99300","JUNIATA PARK","North","1206.56739658864","424.900928343989","3381.93335210343","618.486129649549","851","749",0,35.97986,6.69488,32.5185,17.44503,7.36173
"33","Lardners Point Park","29","34291.8203125","0.187853823782321","0","0","0","0","1","0","0","0","0","549","20357","0.12","0","0.821493624772313","0.717668488160291","0.258652094717668","0.00300489842313309","0.743801652892562","90000","NORTH DELAWARE","North Delaware","443.335826693999","357.897754067065","5735.04826927081","589.71197905753","149","324",0,38.96521,3.27544,41.00477,16.75458,0
"34","Rail Park","27","6009.94140625","0.13438688633981","0","0","0","0","0","0","0","0","0","1674","61324","0.154594594594595","0.0041816009557945","0.844086021505376","0.627240143369176","0.13142174432497","0.00446087399012137","0.640664961636829","272200","CALLOWHILL/CHINATOWN NORTH","Central","192.67898933658","157.892060292055","428.124162691599","79.1612205828739","2489","1772",8.95171,36.08026,0,43.24052,11.72751,0
"35","Grays Ferry Crescent","7","96680.6171875","0.342167145683252","0","0","0","0","0","0","0","0","0","783","42083","0.146341463414634","0","0.805874840357599","0.48786717752235","0.324393358876117","0.00489449897895061","0.274285714285714","105000","GRAYS FERRY","South","172.257594277804","814.168271380181","1031.34989836541","435.000978934074","328","1174",0,63.85703,0,36.14297,0,0
"36","Russell DeRitis Playground","5","13716.41796875","0.109392530854304","0","0","0","1","0","1","0","0","0","690","41175","0.148484848484848","0","0.865217391304348","0.43768115942029","0.0188405797101449","0.0220262430158268","0.505338078291815","NA","POINT BREEZE","South","115.832377136771","420.583035808014","634.254801922925","38.7125207622747","1812","2986",0,0,18.77308,81.22692,0,0
"37","Verree and Susquehanna Playground","31","26663.0859375","0.461105064344708","0","0","0","0","1","1","0","0","0","2252","46713","0.123885918003565","0.0213143872113677","0.920515097690941","0.793072824156306","0.105239786856128","0.00280181466936115","0.858596134282808","233300","NA","Central Northeast","1020.5229041539","1055.28490493661","4654.28170085501","955.470694942136","139","397",0,28.5088,5.33927,55.58364,10.56829,0
"38","Korean War Veterans Memorial","13","9020.6484375","0.266396207534293","0","1","0","0","0","0","0","0","0","1560","107153","0.116959064327485","0.00641025641025641","0.915384615384615","0.950641025641026","0.0134615384615385","0.00819920322391043","0.962913907284768","553600","SOCIETY HILL","Central","126.437002698369","476.102110776585","53.2717809577113","312.802942355531","1142","2613",6.48007,17.21081,0,64.38731,4.40715,7.51466
"39","Frankford and Solly Playground","1","26628.27734375","0.242868888995403","0","0","0","1","0","1","0","0","0","1788","26684","0.189189189189189","0","0.936241610738255","0.441275167785235","0.493288590604027","0.00537949113207191","0.298333333333333","97300","FRANKFORD","Lower Northeast","165.606221356223","562.884853287165","2904.97837484655","355.272383371496","1668","1102",0,0,0,100,0,0
"40","Blue Bell Park","13","57575.30859375","0.52081971290298","0","0","0","0","1","0","0","0","0","80","84250","0","0.0875","1","1","0","1.40583180308934e-05","1","243800","NA","Upper Northwest","779.462655977754","788.238394418903","1588.70577079044","284.909050972117","273","777",0,12.94122,10.82762,47.02986,29.2013,0
"41","Pennypack on the Delaware","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","541","41875","0.222535211267606","0","0.88539741219963","0.571164510166359","0.297597042513863","0.00171720510563428","0.590579710144927","167000","NA","North Delaware","654.739501815584","366.431004302982","7089.08280876843","334.628516954861","228","430",0,15.23399,11.37113,56.5128,16.88208,0
"42","Glendinning Rock Garden","17","19216.83203125","0.456397499988983","0","0","1","0","0","0","0","0","0","1248","70268","0","0","0.862179487179487","0.619391025641026","0.118589743589744","0.000119798103641123","0.602409638554217","270800","NA","Lower North","109.109930363726","733.161730450702","373.414031464569","414.781072124307","795","2111",0,6.07648,5.3913,61.31977,27.21245,0
"43","Fernhill Park","23","294423.921875","0.460297061558155","0","0","0","0","1","1","0","1","0","512","57632","0.206451612903226","0.0390625","0.908203125","0.296875","0.658203125","0.00240392134194856","0.239837398373984","151500","GERMANTOWN","Upper Northwest","452.970432720877","559.876531490724","1042.98096203434","2.53937889002985","737","818",3.06927,35.11103,0,53.2254,8.59429,0
"44","Emanuel Weinberg Park","1","2904","0.113438264492208","0","0","0","0","0","0","0","0","0","1751","19409","0","0","0.950885208452313","0.219303255282696","0.0559680182752713","0.0229231839258125","0.408914728682171","115600","WHITMAN","South","991.874650921613","342.204559372865","662.29086203011","50.1684797643069","1974","1722",0,100,0,0,0,0
