"","ParkName","ReviewCount","Shape__Area","median_NDVI","Adult_Exercise_Equipment","Art_Monuments","Boat_Launches","Hydration_Stations","Picnic_Sites","Playground","Pools_Sprayground","Tennis_Court","Urban_Agriculture","totalPop","median_HH_income","vacantPct","seniorPct","kidPct","pctWhitePop","pctBlackPop","popDensity","WhiteHOrate","houseprice","NAME","DIST_NAME","railline_distance","school_distance","art_distance","demoHousing_distance","crime23_count","tree_count","Discovery_percentage_weighted","Engagement_percentage_weighted","Frustration...Annoyance_percentage_weighted","Inspiration_percentage_weighted","Relaxation_percentage_weighted","Sorrow_percentage_weighted"
"45","Belmont and Edgley Fields","3","65354.66015625","0.480295272219952","0","0","1","0","0","0","0","0","0","1248","70268","0","0","0.862179487179487","0.619391025641026","0.118589743589744","0.000119798103641123","0.602409638554217","270800","NA","West Park","997.213496008031","279.609547228131","1367.83557775086","259.608737650102","365","775",0,0,36.23141,63.76859,0,0
"46","Campbell Square","18","18038.484375","0.250819858945063","0","0","0","0","1","0","0","0","0","471","NA","0.163090128755365","0","0.961783439490446","1","0","0.00717699343685293","1","105100","PORT RICHMOND","River Wards","578.208767156992","188.416260410547","2974.51189159107","11.8041082735789","1516","1112",0,26.19721,0,58.82406,14.97873,0
"47","Julian Abele Park","2","1971.6171875","0.128268638760129","0","0","0","0","0","0","0","0","0","580","42794","0.300353356890459","0","0.920689655172414","0.122413793103448","0.562068965517241","0.00840889108300161","0.237373737373737","218800","SOUTHWEST CENTER CITY","Central","540.226252229824","307.247732680696","697.170836473523","17.3356169987265","1523","3906",0,47.10721,0,0,52.89279,0
"48","Cloverly Park","6","17580.22265625","0.529479365525399","0","0","0","0","1","1","0","0","0","666","24262","0.227906976744186","0.0255255255255255","0.900900900900901","0.165165165165165","0.66966966966967","0.00410728624569538","0.174698795180723","128600","GERMANTOWN","Upper Northwest","276.142232435808","579.128743439966","970.736864883634","90.5175890882604","1094","807",0,23.67135,14.61299,46.21658,15.49908,0
"49","Salvatore Pachella Memorial Field","6","65613.5234375","0.483119949018101","0","0","0","0","1","0","0","0","0","80","84250","0","0.0875","1","1","0","1.40583180308934e-05","1","243800","UPPER ROXBOROUGH","Lower Northwest","2057.46435056667","619.846414294752","3613.61220911396","538.285989628288","112","412",0,0,16.61286,83.38714,0,0
"50","Wissahickon Valley Park","327","11641424.1132813","0.522715660408446","0","1","0","1","1","0","0","0","0","80","84250","0","0.0875","1","1","0","1.40583180308934e-05","1","243800","CHESTNUT HILL","Upper Northwest","1502.43819337834","839.729130322478","2894.87655791997","545.375463615467","99","220",1.0163,18.81515,5.4102,62.78122,11.67101,0.30611
"51","Franklin Delano Roosevelt Park","266","2388504.66015625","0.468472771939402","0","0","0","1","1","1","0","1","0","1277","47052","0.158490566037736","0","0.949099451840251","0.524667188723571","0.22866092404072","0.000772505329050255","0.532137518684604","NA","NA","Lower South","515.549828356348","891.941772217661","3444.38513503287","323.362065438743","77","1278",1.19986,19.80663,10.47273,50.81653,17.34579,0.35847
"52","Rittenhouse Square","190","50423.83984375","0.461400606561897","0","1","0","0","0","0","0","0","0","642","71875","0.269736842105263","0.0233644859813084","1","0.926791277258567","0","0.0115939865559005","0.936936936936937","608300","RITTENHOUSE SQ.","Central","434.784867984643","398.272528129623","503.337641526525","152.168560812252","3837","4320",0.57246,19.42403,1.52258,62.74504,15.7359,0
"53","Ralph Brooks Park","1","1966.82421875","0.127573763532159","0","0","0","0","0","0","0","0","0","1046","28750","0.172161172161172","0.00573613766730402","0.912045889101338","0.0898661567877629","0.902485659655832","0.0153156644137348","0.130530973451327","102100","POINT BREEZE","South","766.539649103161","281.227867128569","1037.79684421026","35.8682331525435","1910","1933",0,0,0,100,0,0
"54","Jefferson Square","14","21556.421875","0.391411077678155","0","0","0","0","0","0","0","0","0","1221","34253","0.108450704225352","0","0.953316953316953","0.628173628173628","0.307944307944308","0.00983040374167886","0.676145339652449","318500","PENNSPORT","South","558.51342193912","229.046222200589","889.551116343907","118.790149475137","1371","3689",0,15.75575,7.36829,32.40106,44.4749,0
"55","Sister Cities Park","72","11995.87890625","0.137356144084823","0","1","0","1","0","0","0","0","0","802","91641","0.123076923076923","0","0.855361596009975","0.726932668329177","0.0473815461346633","0.00249171793363564","0.64327485380117","NA","LOGAN SQUARE","Central","381.640098857622","183.131072062392","165.327699263353","205.636789909101","2922","3308",0,19.52753,11.93771,63.06001,5.47475,0
"56","Sister Clara Muhammad Square","72","11995.87890625","0.137356144084823","0","1","0","1","0","0","0","0","0","802","91641","0.123076923076923","0","0.855361596009975","0.726932668329177","0.0473815461346633","0.00249171793363564","0.64327485380117","NA","LOGAN SQUARE","Central","381.214133407311","182.707211770925","165.749333834172","205.223100044884","2957","3308",0,19.52753,11.93771,63.06001,5.47475,0
"57","General Casimir Pulaski Park","10","13318.6640625","0.103958611562677","0","0","0","0","0","0","0","0","0","508","32500","0.0711297071129707","0","0.824803149606299","0.927165354330709","0.0413385826771654","0.000101774239497636","0.945945945945946","118800","PORT RICHMOND","River Wards","33.2842986575291","755.976871644064","3501.14240854751","694.291778977604","320","275",0,48.744,0,27.85625,23.39975,0
"58","29th and Chalmers Playground","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","940","25719","0.0547112462006079","0.0117021276595745","0.902127659574468","0.0638297872340425","0.9","0.0015249579608907","0.090032154340836","43500","ALLEGHENY WEST","North","758.938286635049","277.565015756924","1875.82349505242","163.760160313778","1847","792",0,0,0,32.29632,67.70368,0
"59","Inn Yard Park","3","9795.21875","0.344815453721273","0","0","1","0","1","1","0","0","0","1512","47541","0.170673076923077","0","0.912698412698413","0.509920634920635","0.365079365079365","0.00222717047937839","0.579710144927536","209300","EAST FALLS","Lower Northwest","278.228178230675","586.00702504369","131.793727687869","160.404156035673","374","1232",0,0,0,72.5935,27.4065,0
"60","John F Kennedy Plaza (LOVE Park)","650","16643.796875","0.14125150319807","0","1","0","0","0","0","0","0","0","1925","68388","0.182687201274562","0","0.885714285714286","0.78961038961039","0.0535064935064935","0.00718399967569039","0.747888239116309","368500","LOGAN SQUARE","Central","60.2575690469659","296.422685755594","174.742783188786","107.935255918666","5865","2574",1.06802,20.03602,6.85418,44.05973,26.95185,1.03021
"61","Benjamin Franklin Parkway","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1229","48235","0.125714285714286","0","0.919446704637917","0.763222131814483","0.0772986167615948","0.0033293836348916","0.647058823529412","NA","LOGAN SQUARE","Central","473.23601753738","450.295540498691","132.682689297353","195.22369651317","1387","3671",0,9.35353,0,30.10556,60.54092,0
"62","Cret Park","7","7773.37890625","0.267604588143584","0","1","0","0","0","0","0","0","0","802","91641","0.123076923076923","0","0.855361596009975","0.726932668329177","0.0473815461346633","0.00249171793363564","0.64327485380117","NA","LOGAN SQUARE","Central","170.543302699158","122.036309944555","95.1604131589839","81.2475305014526","4826","2762",0,0,0,32.15472,67.84528,0
"63","Harrowgate Park","14","33915.88671875","0.39808434317161","0","1","0","0","0","1","0","0","0","2428","21992","0","0","0.962108731466227","0.384678747940692","0.322075782537068","0.0186226049431575","0.436170212765957","87400","KENSINGTON","River Wards","99.5599449756701","344.381252723584","3192.68363717945","145.766197057711","2714","724",7.44954,20.77104,23.02163,42.62009,6.13771,0
"64","Fitler Square","4","4963.78515625","0.376984863010546","0","1","0","0","0","0","0","0","0","825","108512","0","0.0678787878787879","0.92","0.916363636363636","0.0327272727272727","0.0145990620277399","0.849673202614379","540600","RITTENHOUSE SQ.","Central","300.764370377284","189.754930940462","1058.17794440633","39.3584679884767","1282","4183",0,18.37104,0,54.87229,26.75667,0
"65","Fanny Kemble Abolitionist Memorial Park","13","55301.83984375","0.45071350783517","0","0","0","0","0","1","0","0","0","2286","37266","0.0347957639939486","0.00174978127734033","0.940507436570429","0.224409448818898","0.677602799650044","0.0158461513616641","0.0658307210031348","97600","OGONTZ","Upper North","445.038986664","295.894017266312","1607.58199681605","139.717159693702","1574","989",0,7.92791,7.67606,56.81075,27.58529,0
"66","John Dickinson Square","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","670","70170","0.0524781341107872","0","0.849253731343284","0.92089552238806","0.0194029850746269","0.00829159038306795","0.929230769230769","201200","PENNSPORT","South","509.18447566442","459.611993889151","256.603347509592","100.995623147614","1532","2469",0,42.09448,7.53546,42.49817,7.87189,0
"67","Thomas P Stokley Recreation Center","7","52295.59765625","0.302129552080152","1","0","0","1","1","1","1","0","0","768","NA","0.0743034055727554","0","0.94921875","0.178385416666667","0.50390625","0.0123491380950559","0.321070234113712","120100","SOUTH PHILADELPHIA","South","67.7026869471991","127.196954642357","2015.78858753929","368.210742389286","1497","1255",0,27.95976,11.50448,22.20413,17.20726,21.12437
"68","Pastorius Park","8","113892.90234375","0.4953826154644","0","0","0","1","0","0","0","0","0","645","128750","0","0.0294573643410853","0.917829457364341","0.965891472868217","0","0.00178429237033758","0.97841726618705","468400","CHESTNUT HILL","Upper Northwest","416.672900131372","474.023539246334","1780.92866507606","262.767265249195","282","1759",0,52.63193,0,47.36807,0,0
"69","Paines Park","8","19487.26953125","0.216928045816269","0","0","0","0","0","0","0","0","0","1229","48235","0.125714285714286","0","0.919446704637917","0.763222131814483","0.0772986167615948","0.0033293836348916","0.647058823529412","NA","LOGAN SQUARE","Central","81.1211952754766","521.030232743533","596.804443830648","428.223034842148","964","3268",0,41.09247,23.12088,14.65266,21.13399,0
"70","Hunting Park Recreation Center","6","491156.05078125","0.416380868090128","0","0","0","0","1","1","1","1","0","0","NA","NA","NA","NA","0","0","0","NA","NA","HUNTING PARK","North","470.093565057476","442.437968369093","906.143114606621","334.956043539662","1946","1509",0,0,0,65.87927,34.12073,0
"71","Overington Park","5","28489.21484375","0.492987526808255","0","0","0","0","0","1","0","0","0","1353","25114","0.309495896834701","0","0.910569105691057","0.335550628233555","0.574279379157428","0.00697778485674893","0.208828522920204","75400","FRANKFORD","Lower Northeast","336.172673569834","205.23247835327","3320.1690611587","99.8149738041738","1659","729",25.21696,23.50593,15.12996,15.56714,20.58001,0
"72","Cobbs Creek Park","78","2403874.41796875","0.497021009720916","0","0","0","0","1","0","0","0","0","1048","20739","0.236220472440945","0.0333969465648855","0.931297709923664","0.00763358778625954","0.983778625954199","0.0029334852795682","0.0164948453608247","95100","KINGSESSING","University Southwest","366.317862531176","489.896075967468","2361.70749316507","248.845964543241","889","686",0,28.69356,7.45007,43.68355,20.17282,0
"73","Eakins Oval","13","53916.33203125","0.327642121452898","0","1","0","0","0","0","0","0","0","1229","48235","0.125714285714286","0","0.919446704637917","0.763222131814483","0.0772986167615948","0.0033293836348916","0.647058823529412","NA","LOGAN SQUARE","Central","62.7735683532746","351.296779181168","463.834513189181","219.725115801968","1092","3752",7.48229,33.11917,0,41.8356,17.56294,0
"74","Penn Treaty Park","92","58760.8515625","0.38777619339633","0","1","0","0","1","1","0","0","0","802","55833","0.146017699115044","0.00872817955112219","0.948877805486284","0.875311720698254","0.0124688279301746","0.00104233033798067","0.867875647668394","247100","FISHTOWN","Central","707.900190604246","707.572886847435","1290.51168706722","147.983789111189","925","1084",0,25.5025,2.90685,47.33873,24.25192,0
"75","Philadelphia Vietnam Veterans Memorial","5","13544.15234375","0.284998844286925","0","1","0","0","0","0","0","0","0","1560","107153","0.116959064327485","0.00641025641025641","0.915384615384615","0.950641025641026","0.0134615384615385","0.00819920322391043","0.962913907284768","553600","SOCIETY HILL","Central","57.4673724843528","480.241723976973","61.6266129761679","390.414755315766","1066","2488",0,48.56368,0,16.40768,16.25262,18.77602
"76","Ben Barkan Park","3","5385.63671875","0.332141783134667","0","0","0","0","0","1","0","0","0","1021","33409","0.144262295081967","0","0.852105778648384","0.301665034280118","0.523996082272282","0.00776245349556309","0.342911877394636","275900","GARDEN COURT","University Southwest","632.055485786483","94.9268785721036","1289.27776437063","158.823224676417","2222","2456",0,73.02893,0,26.97107,0,0
"77","Bartrams Mile Trail Greenway (56th)","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","949","10991","0.032258064516129","0","0.934668071654373","0.029504741833509","0.898840885142255","0.0018026620012174","0.0153846153846154","NA","NA","University Southwest","6.22524915590726","727.1428353586","1890.72477843777","210.564493890292","331","807",0,22.66792,0,43.10419,34.22789,0
"78","Devereaux Ave Trailhead at K and T Trail","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","949","10991","0.032258064516129","0","0.934668071654373","0.029504741833509","0.898840885142255","0.0018026620012174","0.0153846153846154","NA","NA","University Southwest","6.22524915590726","727.1428353586","1890.72477843777","210.564493890292","331","807",0,22.66792,0,43.10419,34.22789,0
"79","Stephen Girard Park","10","27693.33984375","0.428408767435241","0","1","0","0","0","0","0","0","0","868","52400","0.116279069767442","0","0.867511520737327","0.932027649769585","0","0.0116560065804096","0.957894736842105","191400","GIRARD ESTATE","South","488.408592247525","172.995432685466","2138.96093671517","163.537195074414","1542","1602",13.91173,21.44982,11.59327,36.24942,16.79576,0
"80","Ned Wolf Park","3","1706.61328125","0.270547151176524","0","0","0","0","0","0","0","0","0","638","86111","0","0.0156739811912226","0.943573667711599","0.816614420062696","0.14576802507837","0.00342528255139616","0.828125","361800","WEST MT. AIRY","Upper Northwest","449.173172272765","311.242950942553","2186.38813404774","110.582724233659","253","1723",0,0,0,100,0,0
"81","Belmont Grove","3","7153469.15625","0.496190110970798","1","1","1","0","1","1","1","0","1","1248","70268","0","0","0.862179487179487","0.619391025641026","0.118589743589744","0.000119798103641123","0.602409638554217","270800","NA","West Park","882.099160922477","614.825238120182","1083.40736734765","430.172875116083","179","821",0,35.08394,0,32.08821,32.82785,0
"82","Colonel Thomas J Powers Park","4","6197.3828125","0.17972996998539","0","0","0","0","1","0","0","0","0","1172","44464","0.083955223880597","0","0.919795221843003","0.831058020477816","0.0273037542662116","0.0117632601687985","0.792260692464358","115600","PORT RICHMOND","River Wards","459.171002145693","160.153449971325","2483.72991418373","167.898580961564","1369","1252",0,0,0,66.41852,33.58148,0
"83","Marconi Plaza","18","129800.9453125","0.390996864544702","0","1","0","0","0","1","0","0","0","1107","81172","0.176344086021505","0","0.884372177055104","1","0","0.00863595804462953","1","205100","SOUTH PHILADELPHIA","South","38.1751031819966","229.608382920307","1967.34080897547","463.049016105916","1261","2134",3.79112,33.17531,0,54.23133,4.12151,4.68073
"84","Malcolm X Memorial Park","57","43422.74609375","0.445007540574282","0","0","0","0","1","1","0","0","0","901","30221","0.296740994854202","0.0110987791342952","0.910099889012209","0.178690344062153","0.732519422863485","0.00765226252422683","0.2","211600","GARDEN COURT","West","753.82845321453","142.598667145408","1390.73642045603","154.873730462297","2140","2058",0,37.31411,1.54749,41.955,17.76267,1.42074
"85","Susan Gorgas Park","30","87612.01171875","0.460800935101939","0","0","0","0","1","1","0","0","0","532","53417","0","0.018796992481203","0.887218045112782","0.962406015037594","0.037593984962406","0.0057061430952619","1","222000","CENTRAL ROXBOROUGH","Lower Northwest","1112.43614348778","140.724781338426","3618.42121048465","271.137249255559","504","1094",0,5.4137,3.4855,76.95097,14.14983,0
"86","I-95 Park","17","12770.60546875","0.293704960536851","0","0","0","0","0","0","0","0","0","1560","107153","0.116959064327485","0.00641025641025641","0.915384615384615","0.950641025641026","0.0134615384615385","0.00819920322391043","0.962913907284768","553600","OLD CITY","Central","54.7971375226216","468.898555350933","265.08709554913","80.8353291438838","1049","2027",8.46223,33.01878,0,37.45497,21.06402,0
"87","Frankford and Pennypack Park","25","9356229.1640625","0.509411708620151","0","0","0","1","1","0","0","0","0","1075","75074","0.0194805194805195","0.00465116279069767","0.948837209302326","0.976744186046512","0.00465116279069767","0.00272347239618484","0.955849889624724","281400","NA","Central Northeast","1231.05602064097","756.395338254999","5397.30723262846","964.556716928617","243","525",0,23.77529,0,52.69265,19.56206,3.97001
"88","Pennypack Park","25","9356229.1640625","0.509411708620151","0","0","0","1","1","0","0","0","0","1075","75074","0.0194805194805195","0.00465116279069767","0.948837209302326","0.976744186046512","0.00465116279069767","0.00272347239618484","0.955849889624724","281400","NA","Central Northeast","1231.05602064097","756.395338254999","5397.30723262846","964.556716928617","243","525",0,23.77529,0,52.69265,19.56206,3.97001
"89","Gold Star Park","7","6084.28515625","0.160174085732998","0","0","0","0","1","1","0","0","0","1864","81071","0.147239263803681","0","0.901824034334764","0.651824034334764","0.0187768240343348","0.018427383964685","0.710431654676259","243100","SOUTH PHILADELPHIA","South","970.957186968936","233.548453057246","624.369596826836","83.0237596615607","1553","3905",0,23.3049,0,76.6951,0,0
"90","Frank Palumbo Sr Park","3","1389.70703125","0.13007651559741","0","0","0","0","1","0","0","0","0","1048","71000","0.130730050933786","0.017175572519084","0.925572519083969","0.927480916030534","0.0104961832061069","0.0159994933358155","0.94140625","396200","BELLA VISTA","Central","915.647795403158","263.928648186079","457.946032394394","82.6531293200072","1717","4539",0,0,0,100,0,0
"91","Giuseppe Bardascino Park","3","1609.3828125","0.066390745326865","0","0","0","0","1","1","0","0","0","1053","52431","0.174267100977199","0","0.915479582146249","0.938271604938272","0.0474833808167142","0.00815194302497035","0.940828402366864","320500","BELLA VISTA","South","578.036293114995","145.475740994938","534.144852479359","109.925225465733","1849","4139",0,40.70382,0,59.29618,0,0
